prompt,positive,negative
What makes this film so bad according to the review?,"This film is terrible. You don't really need to read this review further. If you are planning on watching it, suffice to say - don't (unless you are studying how not to make a good movie).<br /><br />The acting is horrendous... serious amateur hour. Throughout the movie I thought that it was interesting that they found someone who speaks and looks like Michael Madsen, only to find out that it is actually him! A new low even for him!!<br /><br />The plot is terrible. People who claim that it is original or good have probably never seen a decent movie before. Even by the standard of Hollywood action flicks, this is a terrible movie.<br /><br />Don't watch it!!! Go for a jog instead - at least you won't feel like killing yourself.","The film is criticized for terrible acting, with the reviewer calling it like an amateur hour performance. Even the presence of Michael Madsen is deemed disappointing. Additionally, the plot is described as terrible and lacking originality, with the overall quality being compared unfavorably to Hollywood action movies. The reviewer strongly advises against watching the movie, suggesting opting for a jog instead."
"What aspects of the movie did the reviewer find terrible, leading them to advise others to avoid it?",Terrible movie. Nuff Said.<br /><br />These Lines are Just Filler. The movie was bad. Why I have to expand on that I don't know. This is already a waste of my time. I just wanted to warn others. Avoid this movie. The acting sucks and the writing is just moronic. Bad in every way. The only nice thing about the movie are Deniz Akkaya's breasts. Even that was ruined though by a terrible and unneeded rape scene. The movie is a poorly contrived and totally unbelievable piece of garbage.<br /><br />OK now I am just going to rag on IMDb for this stupid rule of 10 lines of text minimum. First I waste my time watching this offal. Then feeling compelled to warn others I create an account with IMDb only to discover that I have to write a friggen essay on the film just to express how bad I think it is. Totally unnecessary.,"The reviewer found the movie to be a waste of time, with bad acting, moronic writing, and poorly contrived plot, making it a piece of garbage. They also criticized the inclusion of an unnecessary and disturbing rape scene, along with the frustrating requirement of writing ten lines for IMDb reviews."
What are some major issues with the movie that make it not worth watching?,"Assuming this won't end up a straight-to-video release, I would have to say void this title at all costs. Unless you're bored of good, well-executed movies, that is. I saw this last night at AFI Dallas, and I left with 20 minutes remaining, simply because I didn't care anymore (about the plot, not about insulting the director...that is awkward). When you can spot a goof only 5 minutes into the movie (a shot out, shattered window before any shots are fired...and then the window breaks with the first shot), things are going to bad. Let's just say this is only an indicator of things to come...unfortunately.<br /><br />I'll spare you all the details, but this is sub-par in every manner, even the half-assed acting by Michael Madsen is disappointing when you're expecting half-assed acting from him. And the rape scene...Christ! ""Shut up and take it"" should never be used in a rape scene. EVER.<br /><br />3/10","The movie is filled with goofs and inconsistencies right from the beginning, indicating the lack of attention to detail. The plot fails to keep the audience engaged, leading to a lack of interest in the characters and their stories. The performances, including Michael Madsen's, come across as lackluster and disappointing. Additionally, the handling of sensitive subjects like the rape scene is highly inappropriate and off-putting. Overall, the movie falls short in every aspect and only serves as a reminder of wasted potential."
What aspects of the movie contributed to its negative review?,"I rented this one on DVD without any prior knowledge. I was suspicious seeing Michael Madsen appearing in a movie I have never heard of, but it was a freebie, so why not check it out.<br /><br />Well my guess is that Mr. Blonde would very much like to forget he's ever taken part in such a shame of a film.<br /><br />Apparently, if your script and dialogs are terrible, even good actors cannot save the day. Not to mention the amateur actors that flood this film. Too many non-native-English-speakers play parts of native-English-speakers, reading out lines from a script that should have been thrown away and not having been made into a movie. It's unbelievable how unbelievable all the lines in the movie sound. The music is awful and totally out of place, and the whole thing looks and sounds like a poor school play.<br /><br />I recommend you watch it just so you would appreciate other, better, movies. This is why I gave it a 3 instead of the 1 it deserves.","The movie was filled with terrible script and dialogues, leading to even good actors failing to salvage it. The presence of amateur actors, especially non-native-English-speakers attempting to portray native-English-speakers, resulted in unbelievable and cringeworthy lines throughout. Additionally, the music was described as awful and out of place, making the whole movie feel like a low-quality school production."
"What were your thoughts on the movie overall?

Negative","This movie was terrible. at first i just read the plot summary and it looked OK, so i watched it. The acting was TERRIBLE. it was like the actor were almost camera shy. everything seemed fake. i feel bad for Edward Furlong, terminator 2 was my favorite a few years ago.. I've watched it at least 20 times....<br /><br />the plot was also crap. the writers were probably sleep deprived when they came up with the lines.<br /><br />on the plus side, it's the good kind of bad movie. the one you keep watching just to see how much worst could it will get, so that later you can tell other people how you couldn't believe how terrible the movie was.<br /><br />i think everybody should watch this, so that then we could appreciate better other, REAL, movies.","This movie was a complete disappointment. The acting was incredibly poor, making it painful to watch. The plot was nonsensical and seemed like it was put together haphazardly. Even though it falls into the category of being so bad it's almost entertaining, it's not worth wasting your time on. Save yourself the trouble and skip this one."
What makes this film lack appeal to a wider audience?,"This is an art film that was either made in 1969 or 1972 (the National Film Preservation Foundation says 1969 and IMDb says 1972). Regardless of the exact date, the film definitely appears to be very indicative of this general time period--with some camera-work and pop art stylings that are pure late 60s-early 70s.<br /><br />The film consists of three simple images that are distorted using different weird camera tricks. These distorted images are accompanied by music and there is absolutely no dialog or plot of any sort. This was obviously intended as almost like a form of performance art, and like most performance art, it's interesting at first but quickly becomes tiresome. The film, to put it even more bluntly, is a total bore and would appeal to no one but perhaps those who made the film, their family and friends and perhaps a few people just too hip and ""with it"" to be understood by us mortals.","The film's reliance on distorted images, lack of dialogue or plot, and repetitive nature make it a tedious and unengaging watch. It may only appeal to a niche audience who appreciate avant-garde or experimental art."
What makes this film so disappointing and not worth the watch?,"There are times when finishing a film one wishes to have a refund for the time just spent. This was one of those times. I almost gave up with only 15 minutes left to endure... and I wish I had...<br /><br />The pace that a man goes from a straight-laced, controlled life to one of complete spinelessness and irresponsibility could never be this rapid.<br /><br />From a graduation celebration to the predictable ending Tristan Price (Jesse Metcalfe) man of privilege and culture allows himself to be seduced by a woman, by violence, and by mind altering substances. Of course, the woman part is understandable when observing the talents of the beautiful April (Nathalie Kelley). But the in for a penny in for a pound aspect of the drugs, violence and dedication to a person he has just met is impossible to understand.<br /><br />Frankly, besides being able to stare at Nathalie Kelley and Monica Keena, this film has no redeeming qualities. Save your money, save your time... do anything else...","The film disappoints with its unrealistic and rapid character development, leading to a predictable and unengaging storyline. The protagonist's sudden descent into spinelessness and irresponsibility feels implausible, making it hard for viewers to connect with the narrative. Aside from the presence of talented actresses like Nathalie Kelley and Monica Keena, the film lacks any redeeming qualities, ultimately resulting in a waste of time and money for the audience."
What are some drawbacks of the movie?,"Weak plot, predictable violence, only semi interesting characters. Like the writer (also one of the stars?) was fictionalizing his own screw ups and added an incredulous fantasies of drugs and murder to make it ""hot"". From the predictable rap and house soundtrack, to the family conflicts, it's poorly acted, stereotypical, and ultimately terribly boring. Even the title has been done before - IMDb lists FIVE movies with the same name released in 2007-2008!! <br /><br />Note: Saw it on Showtime, which listed the synopsis for one of the other movies. Was halfway thru before I realized no one was an undercover cop. Even tho another stereotype, would have made it interesting if it happened.","The movie suffers from a weak plot, predictable violence, and only somewhat intriguing characters. It seems like the writer, who is also one of the main actors, incorporated his own mistakes into the storyline and exaggerated with unrealistic drug and murder scenarios to create excitement. The film's soundtrack consisting of rap and house music, along with the depiction of family conflicts, comes off as poorly acted, stereotypical, and ultimately uninteresting. Additionally, the title of the movie has been used multiple times before, adding to the lack of originality."
"What aspects of the movie ""Reload"" disappointed viewers?","If you look at Corey Large's information here on IMDb, apparently there's a movie called ""Reload"" in production (as of June '08) in which he's playing a character named Sebastian Cole.<br /><br />First of all, how does such a crappy movie ever earn a sequel ... and second, didn't Sebastian get killed at the end of ""Loaded""?<br /><br />I watched this in the wee hours of the morning when I was battling insomnia, and so I was drifting in and out while it was on. I'm sure I missed some plot points, but overall, it seemed really weak. Large's performance was (for me) one of the stronger parts of the film. I'm also a bit surprised at all the people commenting on the beautiful girls, since I thought the actress playing Brooke was pretty, but not exceptional.","The movie ""Reload"" was described as weak overall, with confusing plot points that were easy to miss. Despite Corey Large's decent performance, the film failed to leave a lasting impression on viewers. The plot was deemed uninspiring, lacking substance, and unmemorable. Additionally, some viewers were not impressed by the supposed beautiful girls in the film, finding them to be average rather than exceptional."
What are some major drawbacks of this film according to the review?,"This film had a lot of promise, and the plot was relatively interesting, however the actors, director and editors seriously let this film down.<br /><br />I feel bad for the writers, it could have been good. The acting is wooden, very few of the characters are believable.<br /><br />Who ever edited this clearly just learnt some new edit techniques and wanted to splash them all over the film. There are lots of quick 'flashy' edits in almost every scene, which are clearly meant to be symbolic but just end up as annoying.<br /><br />I wanted to like this film and expected there to be a decent resolution to the breakdown of equilibrium but alas no, it left me feeling like I'd wasted my time and the film makers had wasted their money.","The film is criticized for its poor acting, lack of believability in characters, and excessive use of flashy and annoying editing techniques. Additionally, the resolution is deemed unsatisfactory, leaving the viewer feeling disappointed and like their time was wasted."
What makes this film not worth watching?,"This is one of the dumbest films, I've ever seen. It rips off nearly ever type of thriller and manages to make a mess of them all.<br /><br />There's not a single good line or character in the whole mess. If there was a plot, it was an afterthought and as far as acting goes, there's nothing good to say so Ill say nothing. I honestly cant understand how this type of nonsense gets produced and actually released, does somebody somewhere not at some stage think, 'Oh my god this really is a load of shite' and call it a day. Its crap like this that has people downloading illegally, the trailer looks like a completely different film, at least if you have download it, you haven't wasted your time or money Don't waste your time, this is painful.","This movie is a complete mess, lacking any originality and failing to deliver a coherent plot or engaging characters. The acting is subpar, with no memorable lines or performances. It shamelessly borrows from other thriller films without bringing anything fresh to the table, resulting in a disappointing viewing experience. It's no wonder that people might consider illegal downloads over paying to watch this kind of nonsense. Save your time and money, this movie is simply painful to sit through."
What are some of the major drawbacks of the movie according to the review?,"6/10 Acting, not great but some good acting.<br /><br />4/10 Director, makes some stupid decisions for this film.<br /><br />2/10 Writer, story makes no sense at all and has huge amount of flaws.<br /><br />4/10 Overall score for this movie.<br /><br />Don't waste your time with this film, it's not worth it. I gave 4 for this movie and it may be too much. Characters are so over exaggerated than they can ever be in real life and some pretty unexplainable stuff happens ""storywise"", not in good way. Because of the style this film has been filmed you get bored after 30 minutes (too many special effects: slow motions and camera shakes and fast forwards). It's always good that movie uses music to make the story go smooth but there's too many tracks in this one. In the first hour there is almost 50/50 dialogs and musics","The movie received poor ratings for acting, directing, and writing. The characters were over exaggerated, the story had numerous flaws, and the use of special effects, music, and pacing made it boring to watch. Overall, the movie was not worth the time and effort to sit through."
What impact did the director's style have on the overall quality of the movie?,"From the beginning of the movie, it gives the feeling the director is trying to portray something, what I mean to say that instead of the story dictating the style in which the movie should be made, he has gone in the opposite way, he had a type of move that he wanted to make, and wrote a story to suite it. And he has failed in it very badly. I guess he was trying to make a stylish movie. Any way I think this movie is a total waste of time and effort. In the credit of the director, he knows the media that he is working with, what I am trying to say is I have seen worst movies than this. Here at least the director knows to maintain the continuity in the movie. And the actors also have given a decent performance.","The director's attempt to prioritize style over substance in this film ultimately falls flat, resulting in a disappointing and unengaging viewing experience. It feels like the plot was forced to fit the director's vision rather than letting the story naturally guide the filmmaking process. Despite some decent performances from the actors, the movie overall feels like a waste of time and effort, failing to deliver on its attempted stylish presentation."
What makes the overall tone and pacing of the movie difficult to engage with?,"I saw the capsule comment said ""great acting."" In my opinion, these are two great actors giving horrible performances, and with zero chemistry with one another, for a great director in his all-time worst effort. Robert De Niro has to be the most ingenious and insightful illiterate of all time. Jane Fonda's performance uncomfortably drifts all over the map as she clearly has no handle on this character, mostly because the character is so poorly written. Molasses-like would be too swift an adjective for this film's excruciating pacing. Although the film's intent is to be an uplifting story of curing illiteracy, watching it is a true ""bummer."" I give it 1 out of 10, truly one of the worst 20 movies for its budget level that I have ever seen.","The actors in this film deliver abysmal performances lacking chemistry, making it hard to connect with their characters. The pacing is painfully slow, and the attempt to create an uplifting narrative about illiteracy falls flat, resulting in a disappointing and dreary viewing experience. Overall, this movie is one of the worst I have seen for its budget level, earning a mere 1 out of 10 rating."
"What makes the movie ""The Return"" a waste of time and talent?","Robert DeNiro plays the most unbelievably intelligent illiterate of all time. This movie is so wasteful of talent, it is truly disgusting. The script is unbelievable. The dialog is unbelievable. Jane Fonda's character is a caricature of herself, and not a funny one. The movie moves at a snail's pace, is photographed in an ill-advised manner, and is insufferably preachy. It also plugs in every cliche in the book. Swoozie Kurtz is excellent in a supporting role, but so what?<br /><br />Equally annoying is this new IMDB rule of requiring ten lines for every review. When a movie is this worthless, it doesn't require ten lines of text to let other readers know that it is a waste of time and tape. Avoid this movie.","Robert DeNiro's performance as an intelligent illiterate is seen as unbelievable and wasteful of talent, while the script and dialog are criticized as unrealistic. Jane Fonda's character is described as a caricature, and the overall pace of the movie is painfully slow. Additionally, the film is deemed preachy, filled with cliches, and lacking substance, with the supporting actors' performances unable to salvage its shortcomings."
What are some of the drawbacks or criticisms of the movie?,"Story of a man who has unnatural feelings for a pig. Starts out with a opening scene that is a terrific example of absurd comedy. A formal orchestra audience is turned into an insane, violent mob by the crazy chantings of it's singers. Unfortunately it stays absurd the WHOLE time with no general narrative eventually making it just too off putting. Even those from the era should be turned off. The cryptic dialogue would make Shakespeare seem easy to a third grader. On a technical level it's better than you might think with some good cinematography by future great Vilmos Zsigmond. Future stars Sally Kirkland and Frederic Forrest can be seen briefly.",The movie's absurdity and lack of a cohesive narrative make it off-putting and difficult to follow. The cryptic dialogue is challenging and may alienate viewers.
What did reviewers dislike about this movie?,"Uninspired direction leaves a decent cast stranded in a handsome but bland adaptation, in which dialogue seems recited rather than heartfelt, and cash strapped appearances by the ghosts fail to round up any sense of awe or magic; Edward Woodward, as the Ghost of Christmas Present, wobbles around on stilts and seems to be doing an impression of Bernard Cribbins. As Scrooge, George C. Scott is too wry, and he never seems to truly believe in it, which robs his performance of its effect. The scenes in which he's shown his past have as much impact as if he was half-heartedly flicking through his family album. No one else seems to be putting any effort in, except Frank Finlay, who chronically overacts.","The uninspired direction led to a bland adaptation, with dialogue feeling forced rather than genuine. The appearances of the ghosts lacked magic and awe, and some actors like Edward Woodward and George C. Scott failed to deliver convincing performances. Overall, the lack of effort from the cast made the movie fall flat."
What did you find disappointing about George C. Scott's performance in the film?,"Having seen three other versions of the same film, I am afraid for me this is by far the weakest, primarily due to Scott's rather dull and leaden performance. His emotions throughout are so bland it makes it difficult to engage in the film. Alistair Sim portrayed the role infinitely better. When Scrooge was at his meanest, you don't get the sense Scott is saying the dialogue with much conviction and when he undergoes his metamorphosis he is similarly unconvincing. I cannot think of any actors in this film who match those from the Alistair Sim version. Even the musical version (and frankly the Muppets) take on this are better executed. Very disappointing.","I found George C. Scott's performance in the film to be rather dull and lacking in emotional depth. Unlike Alistair Sim's portrayal in previous versions of the film, Scott's delivery of dialogue and emotional transformation fell short, making it difficult to be fully engaged in the movie. The lack of conviction in his performance made it hard to believe in the character's journey."
What were some of the main issues the reviewer had with the movie?,"Saw this movie in my English class this afternoon and was surprised by how bad this version was. Don't get me wrong, George C. Scott was terrific as Scrooge, but the rest of the cast fails so very badly. Sometimes I couldn't stop laughing at the stupid acting and the repeated line: ""Merry Christmas to everyone!"" Other times I almost fell asleep.<br /><br />The movie is based on a Charles Dickens short story about a rich guy, who don't think Christmas is nothing but humbug. After 30 minutes, the rich guy is visited by three ghosts, who persuade him to celebrate Christmas after all.<br /><br />I can not understand how this movie, with a script so bad it must have been written in five minutes, can be so well-rated. Instead of this piece of garbage, I recommend to you, the Bill Murray comedy Scrooged. That at least, was funny...","The reviewer found the rest of the cast's acting to be laughably bad, with repeated cheesy lines making it unbearable to watch at times. They also criticized the poorly written script, questioning how the movie received high ratings despite its flaws. Ultimately, they recommended watching the Bill Murray comedy ""Scrooged"" instead."
What are some issues with the movie?,"William Russ is the main character throughout this made for TV movie. He left his family behind to only reappear and begin paying off his debts. But he tries to keep away from his family. Thats where Peter Falk (Colombo) comes in, playing several different roles, to convince him to come home.<br /><br />The story is average and they actually managed to get a former star (Peter Falk) and use him to a fairly nice degree. But William Russ wasn't truly a star. However, it appears his acting is still OK.<br /><br />I found the delivery and story very cheesy in how everything was predictable. In fact, the last 20 minutes I could almost dictate word for word before it happened. A good movie should never be like that.<br /><br />Overall, it was a sub-par movie. In a letter grading system, it would receive a ""D"".","The movie is very predictable and cheesy, making the story delivery lackluster. The main character may have delivered an average performance, but the overall production falls short of being impressive. It's disappointing that even with the presence of a former star like Peter Falk, the movie still couldn't rise above mediocrity. The predictability of the plot especially in the last 20 minutes makes the viewing experience quite dull and unexciting. Overall, this movie would be categorized as sub-par, having nothing much to offer besides an underwhelming storyline and performances."
"Can you explain why you didn't like the movie ""Vivah""?","I never like to comment on a good film but when it comes to a bad movie, I gotta come really hard on it. Talking about Vivah, this guy, Sooraj Badjatya, seems to have completely lost it. After success of Hum Aapke Hain Kaun, he thought he can make money with cheesy wedding videos. Vivah is so so cheesy that Badjatyas have left Johars and Chopras behind.<br /><br />There was not a single moment during the movie where I can say 'Oh! at least this thing is good'. Aloknath does cliché in a role of Girl's father, Shahid kapoor looks fat and Shahrukhed, Amrita rao is another disaster in addition to ugly looking sets, bad costumes, hackneyed storyline, monstrous stepmother, trying-hard-to-act actors, cacophonous background music, cheap soundtracks.<br /><br />Now the spoiler, I'm warning you guys that as happens in all his other movies, after a calamitous incidence movie ends on a happy note.","The movie ""Vivah"" was a total disappointment. The director, Sooraj Badjatya, seemed to have lost his touch completely. The film was extremely cheesy, with nothing good to offer. The performances were lackluster, the sets were unattractive, the costumes were poor, and the storyline was cliché. Even the background music was irritating. Overall, ""Vivah"" falls flat and is best avoided."
What were some disappointing aspects of the movie according to one reviewer?,"I won't say this movie was bad, but it wasn't good either. I expected something good but I guess Hum Aapke Hain Kaun was much better than this. This was completely old fashioned. At every stage of this movie, I hoped for some twist and what do I get? The girl gets burned and wins her aunt's love. <br /><br />Despite of being engaged, they have to take permission for every little move they make. They are so darn shy even after so many meetings. I expected the aunt to be much more brutal than that. All she did was crib madly. <br /><br />Hey, we have kids too, but we don't watch them and have tears in our eyes always. This movie is a dream. Happy family, one cruel woman, good in-laws and a man who loves her to death. In HAHK Anupam Kher was the poor bride's father and now it's vice versa. And I somehow knew that Mohnish Behl would be in this movie. Anyway I believe I wasted my time. I give it a 2/10.","The reviewer found the movie to be old-fashioned with predictable and lackluster plot developments. They expressed disappointment in the lack of depth in the characters and the overall storyline, feeling like they wasted their time watching it."
What makes the romance in the movie unrealistic and difficult for real world viewers to relate to?,"A Cinderella story made for adults who live in dreamland. The romance is very unrealistic, fluttery, lovey dovey, perfect etc. The Cinderella plot till the very end and Shahid Kapoor is the only reason for my stars. If you're looking for a dreamy romance with a twist, this is definitely you're movie, but for the rest of us real world people, I'd highly recommend saving your three hour watch time. Wake up people!<br /><br />Four out of the five people that saw the film with me would not recommend the film. We had a great time bashing majority of the unrealistic scenes. Maybe I'm missing something.. I just can't believe a movie like this can beat a classic like HDDCS!!",
What could have been improved in the movie to make it more enjoyable?,"After being hugely entertained by Mr. Brosnan's performance as a cad in ""The Tailor of Panama"" (which I rate 10/10 across the board: casting, acting, script, story, editing, pace, music, emotional impact, etc.), I enthusiastically anticipated this film. I was hugely disappointed. It is a script reading not a film, vulgar for the sake of being vulgar, bankrupt in every way that ""The Tailor of Panama"" is rich and satisfying. Blame it on the screen writing and directing. I sat in the theater waiting for the ""good part;"" it never came. I neither laughed nor cried, although one line of dialog did make me smile. Worth $7? Hardly.","The movie lacked depth and substance, failing to engage the audience both emotionally and intellectually. The excessive vulgarity felt forced and added no value to the storyline. Unlike ""The Tailor of Panama,"" this film fell short in terms of acting, script, and direction, leaving viewers feeling underwhelmed and ultimately dissatisfied. It failed to deliver any significant moments that would make it memorable or worth watching, resulting in a disappointing cinematic experience."
"Do the multiple unanswered questions and one-sided portrayal of the storyline make ""He Woman, Man Hater"" clubs the target audience for this movie?","The fine cast cannot uplift this routine tale of a secretary murdered by her married paramour. In fact there are more questions than answers in this one-sided tale of romance and murder; and since we are only provided with the prosecution's side, none of these questions will be answered. This is the type of fare that appeals to the ""He Woman, Man Hater"" clubs of America. As presented, it is the tale of an innocent woman who just happens to be ""caught up"" in a romance with a married, high-profile attorney. Is it possible that IF, she had not been two timing her boy friend and having an affair with a married man, the whole nasty murderous, sordid incident could have been avoided? When you watch this, don't worry about going to the 'fridge, you won't miss anything.","The movie fails to provide a balanced perspective on the romance and murder tale, leaving viewers with a sense of dissatisfaction and unanswered questions throughout. The routine storyline and lack of character depth make it difficult to fully engage with the plot, creating a disconnect that fails to captivate the audience. Additionally, the predictable narrative progression and lack of surprises make it a forgettable viewing experience."
What aspects of the film fail to create a genuine connection with the audience?,"This film is a calculated attempt to cash in the success of Sex in the City and Four Weddings and a Funeral. In fact, if they'd called it Sex at a Funeral, they might have done better at the box office.<br /><br />But the film falls between two stools and can't get up. The characters spout improbably bright dialog, but never act in any way remotely recognizable as human. One arbitrary, senseless action follows another to advance what passes for a plot, and one soon tires of the falsity of the whole enterprise.<br /><br />Andie MacDowell gets points for acting her little heart out, but the performing honors are stolen by Imelda Staunton, as of all things, a police detective (don't they have a height requirement over there?). Ms. Staunton seems unable to make a false move. Would that we could say the same about the writer-director.<br /><br />If Notting Hill annoyed you as being bogus, stay away from this one. Phonus bolognus on the half-shell.","The film tries too hard to replicate the success of other romantic comedies but ends up feeling artificial and inauthentic. The characters lack depth and realism, making it difficult for viewers to emotionally invest in their stories. The plot relies on contrived and illogical actions that fail to engage the audience in a meaningful way. Despite some commendable performances, the overall execution falls flat, leaving the viewer with a sense of disappointment and insincerity."
"What makes the movie ""Campy Love"" fall short for many viewers?","This had to be one of the worst films ever. When Kate shows up and Jed is with a bunch of guys and they all start clapping...so Hollywood. Another bad scene was when Kate was running her hands over the pavement it appeared that she was examining the texture of the pavement. Andie's acting is so bad in this film - I could not connect with them or feel there love for each other. The other 2 women however were very good and overshadowed Andie. Anyway this was such a campy movie. I usually like these type of films but I just couldn't get into this film. Too many unlikely situations and again Andie's acting didn't help the film. Also, she is all gums. Lancome must put her makeup on with a putty knife because she looks glamorous in the commericals.","""Campy Love"" failed to impress many viewers due to its unrealistic scenes, lackluster acting, particularly from Andie, and an overall Hollywood-esque feel that turned off audiences. The film's reliance on clichés and poorly executed moments left much to be desired, making it one of the worst films for many."
What makes this film difficult to watch at times?,"This starts off bad, what with the three women acting like simpering junior high school wussies sitting around giggling with their gin, endless cigarettes and a caramel chocolate treat for the one who tells the best 'man' story, and then it gets worse -=- spoiler alert =-= what with Andie's character falling for the young organ player who used to be her student when he was 14 (she's the headmistress of an English school, believe it or not), only to have him destroyed thanks to her bitch-from-hell 'girlfriend' . ..and then from there, it's basically unwatchable claptrap: she forgives her 'friend' and has the organ player's love child and the 3 women end up as they started, drinking more gin and smoking more cigarettes blah blah blah. Andie's character throws the caramel chocolates out in the street, in a pathetic attempt to symbolize growth. Have mercy.","The film portrays the characters in a way that feels unrealistic and cringeworthy, especially with the awkward dynamics between the three women and the questionable romantic storyline involving a former student. As the plot progresses, it becomes more absurd and unbelievable, making it hard to take seriously. The attempted symbolism towards the end comes off as forced and unconvincing."
"What was the most disappointing aspect of the movie ""Ladies on Duty""?","Caught this on IFC yesterday, and can't believe the positive reviews! Am I the only one who thought these ""ladies"" were anything but? Kate tells Jed she could get fired because she's supposed to be a pillar of the community, but puts out for him! Then they suddenly decide they're in love? And she's SO devastated over his death, she doesn't go to his funeral, much less, tell his family the ""good news""! By the way, how did an American get to be the headmistress of a very proper British school? Janine should have been kicked off the force for her inexcusable abuse of power, but nothing happens! And she winds up boffing a con she brought in for questioning! And the less said about Molly, the better!<br /><br />As for the guilt Janine and Molly feel over Jed, please! It's the punk's own damn fault he got turned into roadkill! Where's the guilt over poor Gerald, who gets puked on? If only I could do the same to the bozos behind this ""movie""!","I caught this on IFC and I seriously can't understand the praise it's receiving. To be honest, the characters were far from likable or believable. Kate, who is supposed to be a respected figure, easily compromises her values for a man and then hastily falls in love with him. The lack of authenticity in their relationship just doesn't add up. Additionally, the plot inconsistencies are quite jarring, like an American suddenly becoming the headmistress of a British school without any clear explanation. The character Janine's abuse of power within the law enforcement should have had consequences, but everything is brushed aside, making the storyline seem unrealistic. Molly's character is also poorly developed, leaving much to be desired. The supposed guilt the characters feel over certain events in the movie comes off as contrived and lacks emotional depth. Overall, this movie left me feeling misguided and unimpressed."
"Was this meant to be a comedy or a serious drama? This film starts with a light-hearted banter between three women. Fine. It moves into a conflict between the women when one of them meets a man. Fine. There are a few antics between them. Fine. But when the plot thickens and finally becomes black I started to wonder whether I had misinterpreted the first part of the movie. It continues in this vein for a while until, in the end, it tries to go back to the original light-hearted banter. But by now it's too late. It's hard to see why these women would still be talking to one another and the finale is unconvincing. Truly a lesson (for British filmmakers anyway) of how not to make films. Difficult to see how the producers ever convinced themselves this film would work. And the box office proved it to be a real flop, because I'd never heard of this film until this weekend (four years after its release).
  
Negative","Was this meant to be a comedy or a serious drama? This film starts with a light-hearted banter between three women. Fine. It moves into a conflict between the women when one of them meets a man. Fine. There are a few antics between them. Fine. But when the plot thickens and finally becomes black I started to wonder whether I had misinterpreted the first part of the movie. It continues in this vein for a while until, in the end, it tries to go back to the original light-hearted banter. But by now it's too late. It's hard to see why these women would still be talking to one another and the finale is unconvincing. Truly a lesson (for British filmmakers anyway) of how not to make films. Difficult to see how the producers ever convinced themselves this film would work. And the box office proved it to be a real flop, because I'd never heard of this film until this weekend (four years after its release).","The film's attempt to blend comedy with serious drama fell flat, leaving the audience confused and disconnected. The storyline lacked coherence, making it challenging to invest in the characters or their relationships. The sudden shifts in tone made it hard to follow and appreciate the film's direction. Additionally, the unconvincing finale further dampened the viewing experience, making it difficult to understand the characters' motivations. Overall, the film failed to strike a balance between its comedic and dramatic elements, resulting in a forgettable and unengaging narrative."
"What are some flaws you noticed in the movie ""Crushed""?","SPOILER: The young lover, Jed, is kicked out by the spinster, Kate (Andie McDowell), because she wrongly believes that Jed is having an affair with one of her two catty girlfriends. Kate thought she caught them en flagrante delicto. Kate throws Jed's shoes out the door. Jed reluctantly leaves, and then sits in the middle of the road to put his shoes on. Then he gets run over (""Crushed"", one of the meaning of the title) by a truck. And dies.<br /><br />""And then he gets run over by a truck."" Can you imagine a screenwriter actually submitting a script with this plot element? Up to then, its a comedy that intends to be frothy, but lacks any real fizz. Everybody but Jed is just annoying. And then they kill Jed, and everybody's sad, until the end where the gals learn to love one another and be supportive, instead of destructive. I give it 2 ugh's.","The movie ""Crushed"" disappoints viewers as it starts off as a light-hearted comedy but lacks the required energy and charm. The characters, with the exception of Jed, are annoying, making it hard to root for anyone. The sudden and absurd death of Jed by getting run over by a truck leaves a bad taste, and the film fails to redeem itself in the end with a shallow attempt at a heartwarming resolution. Overall, ""Crushed"" receives 2 out of 5 ugh's."
What could have been better in Crush?,"The worst thing about Crush is not that it's acted pretty bad, or that the plot is virtually non-existent, and it's not even that bad that the camerawork could have been better.<br /><br />No, the worst part of this movie is that it has a few absolutely brilliant moments that keep you hoping that there are more to come.<br /><br />But in the end, it's too little, too late. If you are a fan of violin-music and cheap tearjerking scenes of 40+ women crying and hugging and talking about babies and marriage - then by all means, don't miss it.<br /><br />I myself am not exactly thrilled to see the things listed above in a movie, and as a result I had a pretty horrible time. The few absolutely brilliant jokes can not make up for the rest of it.<br /><br />The verdict: 4/10. Guilty of wasting my time.<br /><br />","The movie Crush can be summed up as lacking in several aspects. The plot was virtually non-existent, the acting was pretty bad at times, and the camerawork could have been improved. The film did have a few moments that stood out as brilliant, but these were overshadowed by an overwhelming focus on violin music, cheap tearjerking scenes, and cliched themes of women talking about babies and marriage. As a result, the overall movie experience was disappointing and left much to be desired. In the end, Crush falls short of delivering an engaging and satisfying storyline, making it difficult to recommend to those seeking a compelling cinematic experience."
